location,date,case,hosp,corrected_case,corrected_case_7da,forecast_date
ca,2020-10-01,3504.0,316.0,3504.0,,2020-12-07
ca,2020-10-02,4146.0,328.0,4146.0,,2020-12-07
ca,2020-10-03,4258.0,294.0,4258.0,,2020-12-07
ca,2020-10-04,2785.0,315.0,2785.0,,2020-12-07
ca,2020-10-05,1851.0,347.0,1851.0,,2020-12-07
ca,2020-10-06,2978.0,338.0,2978.0,,2020-12-07
ca,2020-10-07,3897.0,350.0,3897.0,3345.5714285714284,2020-12-07
ca,2020-10-08,3922.0,335.0,3922.0,3405.285714285714,2020-12-07
ca,2020-10-09,4210.0,336.0,4210.0,3414.4285714285716,2020-12-07
ca,2020-10-10,3802.0,321.0,3802.0,3349.285714285714,2020-12-07
ca,2020-10-11,3373.0,291.0,3373.0,3433.285714285714,2020-12-07
ca,2020-10-12,2637.0,335.0,2637.0,3545.5714285714284,2020-12-07
ca,2020-10-13,2873.0,366.0,2873.0,3530.5714285714284,2020-12-07
ca,2020-10-14,3485.0,323.0,3485.0,3471.714285714286,2020-12-07
ca,2020-10-15,3288.0,337.0,3288.0,3381.1428571428573,2020-12-07
ca,2020-10-16,3203.0,344.0,3203.0,3237.285714285714,2020-12-07
ca,2020-10-17,3018.0,320.0,3018.0,3125.285714285714,2020-12-07
ca,2020-10-18,3442.0,320.0,3442.0,3135.1428571428573,2020-12-07
ca,2020-10-19,3400.0,368.0,3400.0,3244.1428571428573,2020-12-07
ca,2020-10-20,3879.0,324.0,3879.0,3387.8571428571427,2020-12-07
ca,2020-10-21,3183.0,356.0,3183.0,3344.714285714286,2020-12-07
ca,2020-10-22,6369.0,355.0,6369.0,3784.8571428571427,2020-12-07
ca,2020-10-23,6221.0,341.0,6221.0,4216.0,2020-12-07
ca,2020-10-24,5246.0,325.0,5246.0,4534.285714285715,2020-12-07
ca,2020-10-25,2960.0,302.0,2960.0,4465.428571428572,2020-12-07
ca,2020-10-26,3394.0,357.0,3394.0,4464.571428571428,2020-12-07
ca,2020-10-27,4697.0,376.0,4697.0,4581.428571428572,2020-12-07
ca,2020-10-28,4384.0,359.0,4384.0,4753.0,2020-12-07
ca,2020-10-29,4394.0,452.0,4394.0,4470.857142857143,2020-12-07
ca,2020-10-30,5312.0,356.0,5312.0,4341.0,2020-12-07
ca,2020-10-31,4701.0,368.0,4701.0,4263.142857142857,2020-12-07
ca,2020-11-01,4211.0,385.0,4211.0,4441.857142857143,2020-12-07
ca,2020-11-02,4505.0,442.0,4505.0,4600.571428571428,2020-12-07
ca,2020-11-03,5719.0,400.0,5719.0,4746.571428571428,2020-12-07
ca,2020-11-04,5190.0,439.0,5190.0,4861.714285714285,2020-12-07
ca,2020-11-05,7074.0,429.0,7074.0,5244.571428571428,2020-12-07
ca,2020-11-06,6331.0,431.0,6331.0,5390.142857142857,2020-12-07
ca,2020-11-07,8861.0,410.0,8861.0,5984.428571428572,2020-12-07
ca,2020-11-08,5841.0,373.0,5841.0,6217.285714285715,2020-12-07
ca,2020-11-09,6147.0,508.0,6147.0,6451.857142857143,2020-12-07
ca,2020-11-10,8245.0,479.0,8245.0,6812.714285714285,2020-12-07
ca,2020-11-11,7411.0,582.0,7411.0,7130.0,2020-12-07
ca,2020-11-12,7693.0,545.0,7693.0,7218.428571428572,2020-12-07
ca,2020-11-13,10471.0,580.0,10471.0,7809.857142857143,2020-12-07
ca,2020-11-14,11327.0,571.0,11327.0,8162.142857142857,2020-12-07
ca,2020-11-15,9433.0,595.0,9433.0,8675.285714285714,2020-12-07
ca,2020-11-16,10165.0,688.0,10165.0,9249.285714285714,2020-12-07
ca,2020-11-17,11418.0,715.0,11418.0,9702.57142857143,2020-12-07
ca,2020-11-18,12466.0,722.0,12466.0,10424.714285714286,2020-12-07
ca,2020-11-19,14331.0,816.0,14331.0,11373.0,2020-12-07
ca,2020-11-20,16250.0,796.0,16250.0,12198.57142857143,2020-12-07
ca,2020-11-21,15076.0,815.0,15076.0,12734.142857142857,2020-12-07
ca,2020-11-22,8249.0,840.0,8249.0,12565.0,2020-12-07
ca,2020-11-23,17010.0,1002.0,17010.0,13542.857142857143,2020-12-07
ca,2020-11-24,19328.0,1014.0,19328.0,14672.857142857143,2020-12-07
ca,2020-11-25,15736.0,1060.0,15736.0,15140.0,2020-12-07
ca,2020-11-26,12630.0,970.0,12630.0,14897.0,2020-12-07
ca,2020-11-27,12831.0,1170.0,12831.0,14408.57142857143,2020-12-07
ca,2020-11-28,15897.0,1129.0,15897.0,14525.857142857143,2020-12-07
ca,2020-11-29,14165.0,1131.0,14165.0,15371.0,2020-12-07
ca,2020-11-30,15001.0,1223.0,15001.0,15084.0,2020-12-07
ca,2020-12-01,23637.0,1237.0,23637.0,15699.57142857143,2020-12-07
ca,2020-12-02,20708.0,1339.0,20708.0,16409.85714285714,2020-12-07
ca,2020-12-03,24507.0,1388.0,24507.0,18106.571428571428,2020-12-07
ca,2020-12-04,27180.0,1471.0,27180.0,20156.428571428572,2020-12-07
ca,2020-12-05,30560.0,1370.0,30560.0,22251.14285714286,2020-12-07
ca,2020-12-06,24871.0,1428.0,24871.0,23780.571428571428,2020-12-07
ca,2020-12-07,25901.0,1540.0,25901.0,25337.714285714286,2020-12-07
ca,2020-10-01,3504.0,316.0,3504.0,,2020-12-14
ca,2020-10-02,4146.0,328.0,4146.0,,2020-12-14
ca,2020-10-03,4258.0,294.0,4258.0,,2020-12-14
ca,2020-10-04,2785.0,315.0,2785.0,,2020-12-14
ca,2020-10-05,1851.0,347.0,1851.0,,2020-12-14
ca,2020-10-06,2978.0,338.0,2978.0,,2020-12-14
