"date","inc","location","cum"
2020-10-01,754,"25",132869
2020-10-02,761,"25",133630
2020-10-03,672,"25",134302
2020-10-04,644,"25",134946
2020-10-05,515,"25",135461
2020-10-06,495,"25",135956
2020-10-07,535,"25",136491
2020-10-08,444,"25",136935
2020-10-09,765,"25",137700
2020-10-10,639,"25",138339
2020-10-11,563,"25",138902
2020-10-12,760,"25",139662
2020-10-13,749,"25",140411
2020-10-14,580,"25",140991
2020-10-15,587,"25",141578
2020-10-16,767,"25",142345
2020-10-17,584,"25",142929
2020-10-18,730,"25",143659
2020-10-19,828,"25",144487
2020-10-20,976,"25",145463
2020-10-21,702,"25",146165
2020-10-22,1049,"25",147214
2020-10-23,1070,"25",148284
2020-10-24,1203,"25",149487
2020-10-25,1077,"25",150564
2020-10-26,1212,"25",151776
2020-10-27,1260,"25",153036
2020-10-28,1181,"25",154217
2020-10-29,1346,"25",155563
2020-10-30,1582,"25",157145
2020-10-31,1430,"25",158575
2020-11-01,1131,"25",159706
2020-11-02,842,"25",160548
2020-11-03,1036,"25",161584
2020-11-04,1714,"25",163298
2020-11-05,1862,"25",165160
2020-11-06,2113,"25",167273
2020-11-07,2302,"25",169575
2020-11-08,1823,"25",171398
2020-11-09,1328,"25",172726
2020-11-10,2154,"25",174880
2020-11-11,2660,"25",177540
2020-11-12,2648,"25",180188
2020-11-13,2906,"25",183094
2020-11-14,3047,"25",186141
2020-11-15,2133,"25",188274
2020-11-16,2164,"25",190438
2020-11-17,2525,"25",192963
2020-11-18,2904,"25",195867
2020-11-19,2682,"25",198549
2020-11-20,2399,"25",200948
2020-11-21,3206,"25",204154
2020-11-22,2695,"25",206849
2020-11-23,1773,"25",208622
2020-11-24,2576,"25",211198
2020-11-25,3395,"25",214593
2020-11-26,0,"25",214593
2020-11-27,4658,"25",219251
2020-11-28,3217,"25",222468
2020-11-29,2495,"25",224963
2020-11-30,1168,"25",226131
2020-12-01,3073,"25",229204
2020-12-02,5027,"25",234231
2020-12-03,6675,"25",240906
2020-12-04,5491,"25",246397
2020-12-05,5619,"25",252016
2020-12-06,4827,"25",256843
2020-12-07,2481,"25",259324
2020-12-08,4122,"25",263446
2020-12-09,5965,"25",269411
2020-12-10,5369,"25",274780
2020-12-11,5655,"25",280435
2020-12-12,5289,"25",285724
2020-12-13,4853,"25",290577
2020-12-14,3653,"25",294230
2020-12-15,3929,"25",298159
2020-12-16,5952,"25",304111
2020-12-17,5135,"25",309246
2020-12-18,5679,"25",314925
2020-12-19,4344,"25",319269
2020-12-20,4261,"25",323530
2020-12-21,3843,"25",327373
2020-12-22,3800,"25",331173
2020-12-23,4814,"25",335987
2020-12-24,5937,"25",341924
2020-12-25,0,"25",341924
2020-12-26,7677,"25",349601
2020-12-27,3134,"25",352735
2020-12-28,4198,"25",356933
2020-12-29,4145,"25",361078
2020-12-30,6839,"25",367917
2020-12-31,7260,"25",375177
2021-01-01,0,"25",375177
2021-01-02,9003,"25",384180
2021-01-03,3481,"25",387661
2021-01-04,4906,"25",392567
2021-01-05,4634,"25",397201
2021-01-06,6851,"25",404052
2021-01-07,7548,"25",411600
2021-01-08,8120,"25",419720
2021-01-09,7414,"25",427134
2021-01-10,5656,"25",432790
2021-01-11,4251,"25",437041
2021-01-12,5487,"25",442528
2021-01-13,5918,"25",448446
2021-01-14,5955,"25",454401
2021-01-15,5525,"25",459926
2021-01-16,5799,"25",465725
2021-01-17,4414,"25",470139
2021-01-18,3301,"25",473440
2021-01-19,3085,"25",476525
2021-01-20,4514,"25",481039
2021-01-21,5140,"25",486179
2021-01-22,5272,"25",491451
2021-01-23,4641,"25",496092
2021-01-24,3944,"25",500036
2021-01-25,3651,"25",503687
2021-01-26,2495,"25",506182
2021-01-27,3320,"25",509502
2021-01-28,4631,"25",514133
2021-01-29,3118,"25",517251
2021-01-30,4108,"25",521359
2021-01-31,2665,"25",524024
2021-02-01,2398,"25",526422
2021-02-02,2239,"25",528661
2021-02-03,2455,"25",531116
2021-02-04,2804,"25",533920
2021-02-05,3287,"25",537207
