test_date,new_positive,issue_date
2022-05-09,0,2022-05-10
2022-05-08,578,2022-05-10
2022-05-07,2724,2022-05-10
2022-05-06,6650,2022-05-10
2022-05-05,7642,2022-05-10
2022-05-04,8494,2022-05-10
2022-05-03,8855,2022-05-10
2022-05-02,9366,2022-05-10
2022-05-01,4314,2022-05-10
2022-04-30,4376,2022-05-10
2022-04-29,6207,2022-05-10
2022-04-28,6679,2022-05-10
2022-04-27,7117,2022-05-10
2022-04-26,7213,2022-05-10
2022-04-25,7595,2022-05-10
2022-04-24,3482,2022-05-10
2022-04-23,3516,2022-05-10
2022-04-22,5051,2022-05-10
2022-04-21,5388,2022-05-10
2022-04-20,5552,2022-05-10
2022-04-19,5771,2022-05-10
2022-04-18,6183,2022-05-10
2022-04-17,2296,2022-05-10
2022-04-16,2639,2022-05-10
2022-04-15,3589,2022-05-10
2022-04-14,3688,2022-05-10
2022-04-13,3954,2022-05-10
2022-04-12,4055,2022-05-10
2022-04-11,4380,2022-05-10
2022-04-10,2188,2022-05-10
2022-04-09,2045,2022-05-10
2022-04-08,2921,2022-05-10
2022-04-07,3054,2022-05-10
2022-04-06,3381,2022-05-10
2022-04-05,3326,2022-05-10
2022-04-04,3768,2022-05-10
2022-04-03,1726,2022-05-10
2022-04-02,1711,2022-05-10
2022-04-01,2629,2022-05-10
2022-03-31,2428,2022-05-10
2022-03-30,2645,2022-05-10
2022-03-29,2739,2022-05-10
2022-03-28,2875,2022-05-10
2022-03-27,1554,2022-05-10
2022-03-26,1461,2022-05-10
2022-03-25,2009,2022-05-10
2022-03-24,2286,2022-05-10
2022-03-23,2249,2022-05-10
2022-03-22,3034,2022-05-10
2022-03-21,2725,2022-05-10
2022-03-20,1303,2022-05-10
2022-03-19,1242,2022-05-10
2022-03-18,1987,2022-05-10
2022-03-17,2300,2022-05-10
2022-03-16,2453,2022-05-10
2022-03-15,2623,2022-05-10
2022-03-14,2894,2022-05-10
2022-03-13,1267,2022-05-10
2022-03-12,1478,2022-05-10
2022-03-11,2292,2022-05-10
2022-03-10,2529,2022-05-10
2022-03-09,2997,2022-05-10
2022-03-08,3295,2022-05-10
2022-03-07,3867,2022-05-10
2022-03-06,1794,2022-05-10
2022-03-05,2050,2022-05-10
2022-03-04,3100,2022-05-10
2022-03-03,3563,2022-05-10
2022-03-02,3952,2022-05-10
2022-03-01,4652,2022-05-10
2022-02-28,5209,2022-05-10
2022-02-27,2367,2022-05-10
2022-02-26,2688,2022-05-10
2022-02-25,4781,2022-05-10
2022-02-24,5145,2022-05-10
2022-02-23,5577,2022-05-10
2022-02-22,7132,2022-05-10
2022-02-21,5322,2022-05-10
2022-02-20,3593,2022-05-10
2022-02-19,4181,2022-05-10
2022-02-18,7040,2022-05-10
2022-02-17,8080,2022-05-10
2022-02-16,9331,2022-05-10
2022-02-15,10776,2022-05-10
2022-02-14,12748,2022-05-10
2022-02-13,5509,2022-05-10
2022-02-12,7053,2022-05-10
2022-02-11,12787,2022-05-10
2022-02-10,14071,2022-05-10
2022-02-09,16071,2022-05-10
2022-02-08,17782,2022-05-10
2022-02-07,22279,2022-05-10
2022-02-06,9763,2022-05-10
2022-02-05,11646,2022-05-10
2022-02-04,21637,2022-05-10
2022-02-03,23792,2022-05-10
2022-02-02,27154,2022-05-10
2022-02-01,32561,2022-05-10
2022-01-31,38515,2022-05-10
2022-01-30,15454,2022-05-10
2022-01-29,20885,2022-05-10
2022-01-28,38723,2022-05-10
2022-01-27,44162,2022-05-10
2022-01-26,51813,2022-05-10
2022-01-25,59990,2022-05-10
2022-01-24,70422,2022-05-10
2022-01-23,28257,2022-05-10
2022-01-22,39798,2022-05-10
2022-01-21,77155,2022-05-10
2022-01-20,89674,2022-05-10
2022-01-19,100775,2022-05-10
2022-01-18,119354,2022-05-10
2022-01-17,81067,2022-05-10
2022-01-16,40137,2022-05-10
2022-01-15,58255,2022-05-10
2022-01-14,103732,2022-05-10
2022-01-13,113884,2022-05-10
2022-01-12,125918,2022-05-10
2022-01-11,134397,2022-05-10
2022-01-10,140673,2022-05-10
2022-01-09,55629,2022-05-10
2022-01-08,76518,2022-05-10
2022-01-07,134326,2022-05-10
2022-01-06,142566,2022-05-10
2022-01-05,154232,2022-05-10
2022-01-04,156011,2022-05-10
2022-01-03,139402,2022-05-10
2022-01-02,56387,2022-05-10
2022-01-01,32642,2022-05-10
2021-12-31,54529,2022-05-10
2021-12-30,85732,2022-05-10
2021-12-29,88281,2022-05-10
2021-12-28,88902,2022-05-10
2021-12-27,75583,2022-05-10
2021-12-26,35970,2022-05-10
2021-12-25,14863,2022-05-10
2021-12-24,22235,2022-05-10
2021-12-23,32449,2022-05-10
2021-12-22,31784,2022-05-10
2021-12-21,27228,2022-05-10
2021-12-20,23198,2022-05-10
2021-12-19,10795,2022-05-10
2021-12-18,9763,2022-05-10
2021-12-17,11169,2022-05-10
2021-12-16,10258,2022-05-10
2021-12-15,10161,2022-05-10
2021-12-14,8429,2022-05-10
2021-12-13,8969,2022-05-10
2021-12-12,4425,2022-05-10
2021-12-11,4258,2022-05-10
2021-12-10,5826,2022-05-10
2021-12-09,5841,2022-05-10
2021-12-08,6557,2022-05-10
2021-12-07,6625,2022-05-10
2021-12-06,7501,2022-05-10
2021-12-05,3919,2022-05-10
2021-12-04,4208,2022-05-10
2021-12-03,6216,2022-05-10
2021-12-02,6370,2022-05-10
2021-12-01,7571,2022-05-10
2021-11-30,7152,2022-05-10
2021-11-29,8350,2022-05-10
2021-11-28,4459,2022-05-10
2021-11-27,4277,2022-05-10
2021-11-26,4385,2022-05-10
2021-11-25,2320,2022-05-10
2021-11-24,4704,2022-05-10
2021-11-23,4860,2022-05-10
2021-11-22,5276,2022-05-10
2021-11-21,2973,2022-05-10
2021-11-20,3306,2022-05-10
2021-11-19,4626,2022-05-10
2021-11-18,4711,2022-05-10
2021-11-17,5176,2022-05-10
2021-11-16,5429,2022-05-10
2021-11-15,6438,2022-05-10
2021-11-14,3268,2022-05-10
2021-11-13,3467,2022-05-10
2021-11-12,5110,2022-05-10
2021-11-11,4339,2022-05-10
2021-11-10,5643,2022-05-10
2021-11-09,5907,2022-05-10
2021-11-08,6672,2022-05-10
2021-11-07,3483,2022-05-10
2021-11-06,3692,2022-05-10
2021-11-05,5545,2022-05-10
2021-11-04,6037,2022-05-10
2021-11-03,6439,2022-05-10
2021-11-02,6549,2022-05-10
2021-11-01,7441,2022-05-10
2021-10-31,3523,2022-05-10
2021-10-30,3957,2022-05-10
2021-10-29,5663,2022-05-10
2021-10-28,6095,2022-05-10
2021-10-27,6580,2022-05-10
2021-10-26,6810,2022-05-10
2021-10-25,7255,2022-05-10
2021-10-24,3594,2022-05-10
2021-10-23,4076,2022-05-10
2021-10-22,5994,2022-05-10
2021-10-21,5949,2022-05-10
2021-10-20,6270,2022-05-10
2021-10-19,6385,2022-05-10
2021-10-18,7082,2022-05-10
2021-10-17,3594,2022-05-10
2021-10-16,3655,2022-05-10
2021-10-15,5316,2022-05-10
2021-10-14,5306,2022-05-10
2021-10-13,5655,2022-05-10
2021-10-12,5814,2022-05-10
2021-10-11,5832,2022-05-10
2021-10-10,3312,2022-05-10
2021-10-09,3520,2022-05-10
2021-10-08,5181,2022-05-10
2021-10-07,5315,2022-05-10
2021-10-06,6022,2022-05-10
2021-10-05,6263,2022-05-10
2021-10-04,6796,2022-05-10
2021-10-03,3412,2022-05-10
2021-10-02,3700,2022-05-10
2021-10-01,5779,2022-05-10
2021-09-30,5801,2022-05-10
2021-09-29,6231,2022-05-10
2021-09-28,6776,2022-05-10
2021-09-27,7653,2022-05-10
2021-09-26,3768,2022-05-10
2021-09-25,4235,2022-05-10
2021-09-24,6177,2022-05-10
2021-09-23,6488,2022-05-10
2021-09-22,7399,2022-05-10
2021-09-21,7543,2022-05-10
2021-09-20,8856,2022-05-10
2021-09-19,4142,2022-05-10
2021-09-18,4917,2022-05-10
2021-09-17,7326,2022-05-10
2021-09-16,7870,2022-05-10
2021-09-15,8858,2022-05-10
2021-09-14,9474,2022-05-10
2021-09-13,10437,2022-05-10
2021-09-12,5360,2022-05-10
2021-09-11,6267,2022-05-10
2021-09-10,9307,2022-05-10
2021-09-09,10169,2022-05-10
2021-09-08,11303,2022-05-10
2021-09-07,12404,2022-05-10
2021-09-06,6653,2022-05-10
2021-09-05,5362,2022-05-10
2021-09-04,6787,2022-05-10
2021-09-03,9969,2022-05-10
2021-09-02,11003,2022-05-10
2021-09-01,12921,2022-05-10
2021-08-31,12272,2022-05-10
2021-08-30,13292,2022-05-10
2021-08-29,6586,2022-05-10
2021-08-28,7799,2022-05-10
2021-08-27,11246,2022-05-10
2021-08-26,12396,2022-05-10
2021-08-25,13573,2022-05-10
2021-08-24,14041,2022-05-10
2021-08-23,15310,2022-05-10
2021-08-22,7551,2022-05-10
2021-08-21,8875,2022-05-10
2021-08-20,13381,2022-05-10
2021-08-19,13896,2022-05-10
2021-08-18,15017,2022-05-10
2021-08-17,15492,2022-05-10
2021-08-16,16112,2022-05-10
2021-08-15,8179,2022-05-10
2021-08-14,9575,2022-05-10
2021-08-13,13736,2022-05-10
2021-08-12,14581,2022-05-10
2021-08-11,15499,2022-05-10
2021-08-10,16195,2022-05-10
2021-08-09,16283,2022-05-10
2021-08-08,8710,2022-05-10
2021-08-07,9691,2022-05-10
2021-08-06,12875,2022-05-10
2021-08-05,13911,2022-05-10
2021-08-04,14066,2022-05-10
2021-08-03,14321,2022-05-10
2021-08-02,14109,2022-05-10
2021-08-01,8508,2022-05-10
2021-07-31,8489,2022-05-10
2021-07-30,11082,2022-05-10
2021-07-29,11714,2022-05-10
2021-07-28,11801,2022-05-10
2021-07-27,11239,2022-05-10
2021-07-26,11733,2022-05-10
2021-07-25,6427,2022-05-10
2021-07-24,6756,2022-05-10
2021-07-23,8118,2022-05-10
2021-07-22,8317,2022-05-10
2021-07-21,8780,2022-05-10
2021-07-20,8346,2022-05-10
2021-07-19,8396,2022-05-10
2021-07-18,4793,2022-05-10
2021-07-17,4671,2022-05-10
2021-07-16,5960,2022-05-10
2021-07-15,5857,2022-05-10
2021-07-14,5561,2022-05-10
2021-07-13,5384,2022-05-10
2021-07-12,5359,2022-05-10
2021-07-11,3126,2022-05-10
2021-07-10,3132,2022-05-10
2021-07-09,3600,2022-05-10
2021-07-08,3568,2022-05-10
2021-07-07,3758,2022-05-10
2021-07-06,3602,2022-05-10
2021-07-05,2781,2022-05-10
2021-07-04,1556,2022-05-10
2021-07-03,1679,2022-05-10
2021-07-02,2009,2022-05-10
2021-07-01,2155,2022-05-10
2021-06-30,2017,2022-05-10
2021-06-29,1883,2022-05-10
2021-06-28,1923,2022-05-10
2021-06-27,1172,2022-05-10
2021-06-26,1071,2022-05-10
2021-06-25,1303,2022-05-10
2021-06-24,1395,2022-05-10
2021-06-23,1229,2022-05-10
2021-06-22,1309,2022-05-10
2021-06-21,1393,2022-05-10
2021-06-20,799,2022-05-10
2021-06-19,743,2022-05-10
2021-06-18,928,2022-05-10
2021-06-17,1023,2022-05-10
2021-06-16,1073,2022-05-10
2021-06-15,1039,2022-05-10
2021-06-14,1150,2022-05-10
2021-06-13,703,2022-05-10
2021-06-12,673,2022-05-10
2021-06-11,852,2022-05-10
2021-06-10,872,2022-05-10
2021-06-09,927,2022-05-10
2021-06-08,1051,2022-05-10
2021-06-07,1038,2022-05-10
2021-06-06,607,2022-05-10
2021-06-05,643,2022-05-10
2021-06-04,854,2022-05-10
2021-06-03,996,2022-05-10
2021-06-02,1041,2022-05-10
2021-06-01,1208,2022-05-10
2021-05-31,591,2022-05-10
2021-05-30,585,2022-05-10
2021-05-29,601,2022-05-10
2021-05-28,857,2022-05-10
2021-05-27,918,2022-05-10
2021-05-26,975,2022-05-10
2021-05-25,1047,2022-05-10
2021-05-24,1205,2022-05-10
2021-05-23,661,2022-05-10
2021-05-22,700,2022-05-10
2021-05-21,943,2022-05-10
2021-05-20,992,2022-05-10
2021-05-19,1190,2022-05-10
2021-05-18,1225,2022-05-10
2021-05-17,1332,2022-05-10
2021-05-16,812,2022-05-10
2021-05-15,898,2022-05-10
2021-05-14,1173,2022-05-10
2021-05-13,1193,2022-05-10
2021-05-12,1353,2022-05-10
2021-05-11,1468,2022-05-10
2021-05-10,1634,2022-05-10
2021-05-09,936,2022-05-10
2021-05-08,1049,2022-05-10
2021-05-07,1439,2022-05-10
2021-05-06,1530,2022-05-10
2021-05-05,1696,2022-05-10
2021-05-04,1596,2022-05-10
2021-05-03,1965,2022-05-10
2021-05-02,1101,2022-05-10
2021-05-01,1276,2022-05-10
2021-04-30,1644,2022-05-10
2021-04-29,1660,2022-05-10
2021-04-28,1822,2022-05-10
2021-04-27,1874,2022-05-10
2021-04-26,2101,2022-05-10
2021-04-25,1212,2022-05-10
2021-04-24,1365,2022-05-10
2021-04-23,1817,2022-05-10
2021-04-22,1837,2022-05-10
2021-04-21,1993,2022-05-10
2021-04-20,2127,2022-05-10
2021-04-19,2435,2022-05-10
2021-04-18,1424,2022-05-10
2021-04-17,1552,2022-05-10
2021-04-16,2045,2022-05-10
2021-04-15,2111,2022-05-10
2021-04-14,2391,2022-05-10
2021-04-13,2414,2022-05-10
