test_date,new_positive,issue_date
2022-05-16,0,2022-05-17
2022-05-15,822,2022-05-17
2022-05-14,3360,2022-05-17
2022-05-13,8629,2022-05-17
2022-05-12,9425,2022-05-17
2022-05-11,10340,2022-05-17
2022-05-10,10676,2022-05-17
2022-05-09,11673,2022-05-17
2022-05-08,5182,2022-05-17
2022-05-07,5649,2022-05-17
2022-05-06,8345,2022-05-17
2022-05-05,8916,2022-05-17
2022-05-04,9457,2022-05-17
2022-05-03,9587,2022-05-17
2022-05-02,9948,2022-05-17
2022-05-01,4924,2022-05-17
2022-04-30,4700,2022-05-17
2022-04-29,6421,2022-05-17
2022-04-28,6914,2022-05-17
2022-04-27,7290,2022-05-17
2022-04-26,7397,2022-05-17
2022-04-25,7753,2022-05-17
2022-04-24,3549,2022-05-17
2022-04-23,3574,2022-05-17
2022-04-22,5091,2022-05-17
2022-04-21,5404,2022-05-17
2022-04-20,5580,2022-05-17
2022-04-19,5793,2022-05-17
2022-04-18,6204,2022-05-17
2022-04-17,2314,2022-05-17
2022-04-16,2643,2022-05-17
2022-04-15,3607,2022-05-17
2022-04-14,3691,2022-05-17
2022-04-13,3967,2022-05-17
2022-04-12,4060,2022-05-17
2022-04-11,4387,2022-05-17
2022-04-10,2192,2022-05-17
2022-04-09,2042,2022-05-17
2022-04-08,2924,2022-05-17
2022-04-07,3056,2022-05-17
2022-04-06,3385,2022-05-17
2022-04-05,3329,2022-05-17
2022-04-04,3773,2022-05-17
2022-04-03,1728,2022-05-17
2022-04-02,1712,2022-05-17
2022-04-01,2637,2022-05-17
2022-03-31,2432,2022-05-17
2022-03-30,2640,2022-05-17
2022-03-29,2727,2022-05-17
2022-03-28,2866,2022-05-17
2022-03-27,1547,2022-05-17
2022-03-26,1449,2022-05-17
2022-03-25,1997,2022-05-17
2022-03-24,2282,2022-05-17
2022-03-23,2247,2022-05-17
2022-03-22,3032,2022-05-17
2022-03-21,2719,2022-05-17
2022-03-20,1302,2022-05-17
2022-03-19,1240,2022-05-17
2022-03-18,1990,2022-05-17
2022-03-17,2302,2022-05-17
2022-03-16,2458,2022-05-17
2022-03-15,2629,2022-05-17
2022-03-14,2895,2022-05-17
2022-03-13,1269,2022-05-17
2022-03-12,1480,2022-05-17
2022-03-11,2292,2022-05-17
2022-03-10,2533,2022-05-17
2022-03-09,2998,2022-05-17
2022-03-08,3299,2022-05-17
2022-03-07,3864,2022-05-17
2022-03-06,1794,2022-05-17
2022-03-05,2050,2022-05-17
2022-03-04,3099,2022-05-17
2022-03-03,3566,2022-05-17
2022-03-02,3953,2022-05-17
