test_date,new_positive,issue_date
2022-06-20,0,2022-06-21
2022-06-19,1035,2022-06-21
2022-06-18,3856,2022-06-21
2022-06-17,10479,2022-06-21
2022-06-16,11431,2022-06-21
2022-06-15,13125,2022-06-21
2022-06-14,14715,2022-06-21
2022-06-13,17292,2022-06-21
2022-06-12,8009,2022-06-21
2022-06-11,9264,2022-06-21
2022-06-10,14951,2022-06-21
2022-06-09,15382,2022-06-21
2022-06-08,17290,2022-06-21
2022-06-07,18470,2022-06-21
2022-06-06,20598,2022-06-21
2022-06-05,9301,2022-06-21
2022-06-04,10379,2022-06-21
2022-06-03,16147,2022-06-21
2022-06-02,17760,2022-06-21
2022-06-01,20318,2022-06-21
2022-05-31,23824,2022-06-21
2022-05-30,8447,2022-06-21
2022-05-29,7740,2022-06-21
2022-05-28,8791,2022-06-21
2022-05-27,14189,2022-06-21
2022-05-26,15465,2022-06-21
2022-05-25,17047,2022-06-21
2022-05-24,18120,2022-06-21
2022-05-23,19414,2022-06-21
2022-05-22,8563,2022-06-21
2022-05-21,8881,2022-06-21
2022-05-20,13921,2022-06-21
2022-05-19,14504,2022-06-21
2022-05-18,15678,2022-06-21
2022-05-17,16108,2022-06-21
2022-05-16,17312,2022-06-21
2022-05-15,7791,2022-06-21
2022-05-14,7920,2022-06-21
2022-05-13,11394,2022-06-21
2022-05-12,11466,2022-06-21
2022-05-11,11884,2022-06-21
2022-05-10,11954,2022-06-21
2022-05-09,12809,2022-06-21
2022-05-08,6030,2022-06-21
2022-05-07,6308,2022-06-21
2022-05-06,8925,2022-06-21
2022-05-05,9306,2022-06-21
2022-05-04,9758,2022-06-21
2022-05-03,9929,2022-06-21
2022-05-02,10324,2022-06-21
2022-05-01,5119,2022-06-21
2022-04-30,4816,2022-06-21
2022-04-29,6506,2022-06-21
2022-04-28,6982,2022-06-21
2022-04-27,7362,2022-06-21
2022-04-26,7506,2022-06-21
2022-04-25,7820,2022-06-21
2022-04-24,3573,2022-06-21
2022-04-23,3601,2022-06-21
2022-04-22,5135,2022-06-21
2022-04-21,5439,2022-06-21
2022-04-20,5590,2022-06-21
2022-04-19,5857,2022-06-21
2022-04-18,6249,2022-06-21
2022-04-17,2327,2022-06-21
2022-04-16,2663,2022-06-21
2022-04-15,3640,2022-06-21
2022-04-14,3720,2022-06-21
2022-04-13,3976,2022-06-21
2022-04-12,4093,2022-06-21
2022-04-11,4426,2022-06-21
2022-04-10,2200,2022-06-21
2022-04-09,2052,2022-06-21
2022-04-08,2945,2022-06-21
2022-04-07,3061,2022-06-21
2022-04-06,3406,2022-06-21
2022-04-05,3362,2022-06-21
2022-04-04,3803,2022-06-21
2022-04-03,1734,2022-06-21
2022-04-02,1719,2022-06-21
2022-04-01,2645,2022-06-21
2022-03-31,2447,2022-06-21
2022-03-30,2640,2022-06-21
2022-03-29,2732,2022-06-21
2022-03-28,2874,2022-06-21
2022-03-27,1538,2022-06-21
2022-03-26,1442,2022-06-21
2022-03-25,1998,2022-06-21
2022-03-24,2293,2022-06-21
2022-03-23,2249,2022-06-21
2022-03-22,3029,2022-06-21
2022-03-21,2715,2022-06-21
2022-03-20,1303,2022-06-21
2022-03-19,1239,2022-06-21
2022-03-18,1989,2022-06-21
2022-03-17,2305,2022-06-21
2022-03-16,2455,2022-06-21
2022-03-15,2630,2022-06-21
2022-03-14,2894,2022-06-21
2022-03-13,1270,2022-06-21
2022-03-12,1490,2022-06-21
2022-03-11,2296,2022-06-21
2022-03-10,2552,2022-06-21
2022-03-09,3004,2022-06-21
2022-03-08,3313,2022-06-21
2022-03-07,3870,2022-06-21
2022-03-06,1802,2022-06-21
2022-03-05,2079,2022-06-21
2022-03-04,3099,2022-06-21
2022-03-03,3568,2022-06-21
2022-03-02,3963,2022-06-21
2022-03-01,4666,2022-06-21
2022-02-28,5219,2022-06-21
2022-02-27,2373,2022-06-21
2022-02-26,2683,2022-06-21
2022-02-25,4780,2022-06-21
2022-02-24,5162,2022-06-21
2022-02-23,5587,2022-06-21
2022-02-22,7157,2022-06-21
2022-02-21,5329,2022-06-21
2022-02-20,3596,2022-06-21
2022-02-19,4184,2022-06-21
2022-02-18,7052,2022-06-21
2022-02-17,8085,2022-06-21
2022-02-16,9323,2022-06-21
2022-02-15,10798,2022-06-21
2022-02-14,12764,2022-06-21
2022-02-13,5524,2022-06-21
2022-02-12,7057,2022-06-21
2022-02-11,12790,2022-06-21
2022-02-10,14084,2022-06-21
2022-02-09,16133,2022-06-21
2022-02-08,17814,2022-06-21
2022-02-07,22313,2022-06-21
2022-02-06,9769,2022-06-21
2022-02-05,11648,2022-06-21
2022-02-04,21646,2022-06-21
2022-02-03,23794,2022-06-21
2022-02-02,27218,2022-06-21
2022-02-01,32570,2022-06-21
2022-01-31,38589,2022-06-21
2022-01-30,15474,2022-06-21
2022-01-29,20893,2022-06-21
2022-01-28,38760,2022-06-21
2022-01-27,44236,2022-06-21
2022-01-26,51845,2022-06-21
2022-01-25,60057,2022-06-21
2022-01-24,70471,2022-06-21
2022-01-23,28276,2022-06-21
2022-01-22,39820,2022-06-21
2022-01-21,77165,2022-06-21
2022-01-20,89736,2022-06-21
2022-01-19,100866,2022-06-21
2022-01-18,119382,2022-06-21
2022-01-17,81136,2022-06-21
2022-01-16,40176,2022-06-21
2022-01-15,58281,2022-06-21
2022-01-14,103726,2022-06-21
2022-01-13,113906,2022-06-21
2022-01-12,126022,2022-06-21
2022-01-11,134452,2022-06-21
2022-01-10,140789,2022-06-21
2022-01-09,55642,2022-06-21
2022-01-08,76562,2022-06-21
2022-01-07,134371,2022-06-21
2022-01-06,142654,2022-06-21
2022-01-05,154381,2022-06-21
2022-01-04,156092,2022-06-21
2022-01-03,139535,2022-06-21
2022-01-02,56492,2022-06-21
2022-01-01,32724,2022-06-21
2021-12-31,54595,2022-06-21
2021-12-30,85896,2022-06-21
2021-12-29,88416,2022-06-21
2021-12-28,89051,2022-06-21
2021-12-27,75730,2022-06-21
2021-12-26,36058,2022-06-21
2021-12-25,14915,2022-06-21
2021-12-24,22325,2022-06-21
2021-12-23,32545,2022-06-21
2021-12-22,31876,2022-06-21
2021-12-21,27313,2022-06-21
2021-12-20,23300,2022-06-21
2021-12-19,10828,2022-06-21
2021-12-18,9817,2022-06-21
2021-12-17,11206,2022-06-21
2021-12-16,10309,2022-06-21
2021-12-15,10219,2022-06-21
2021-12-14,8457,2022-06-21
2021-12-13,9005,2022-06-21
2021-12-12,4436,2022-06-21
2021-12-11,4269,2022-06-21
2021-12-10,5857,2022-06-21
2021-12-09,5884,2022-06-21
2021-12-08,6603,2022-06-21
2021-12-07,6644,2022-06-21
2021-12-06,7513,2022-06-21
2021-12-05,3925,2022-06-21
2021-12-04,4213,2022-06-21
2021-12-03,6226,2022-06-21
2021-12-02,6387,2022-06-21
2021-12-01,7593,2022-06-21
2021-11-30,7174,2022-06-21
2021-11-29,8373,2022-06-21
2021-11-28,4461,2022-06-21
2021-11-27,4272,2022-06-21
2021-11-26,4384,2022-06-21
2021-11-25,2320,2022-06-21
2021-11-24,4705,2022-06-21
2021-11-23,4859,2022-06-21
2021-11-22,5276,2022-06-21
2021-11-21,2973,2022-06-21
2021-11-20,3308,2022-06-21
2021-11-19,4629,2022-06-21
2021-11-18,4717,2022-06-21
2021-11-17,5182,2022-06-21
2021-11-16,5433,2022-06-21
2021-11-15,6438,2022-06-21
2021-11-14,3270,2022-06-21
2021-11-13,3470,2022-06-21
2021-11-12,5119,2022-06-21
2021-11-11,4340,2022-06-21
2021-11-10,5643,2022-06-21
2021-11-09,5910,2022-06-21
2021-11-08,6674,2022-06-21
2021-11-07,3483,2022-06-21
2021-11-06,3689,2022-06-21
2021-11-05,5549,2022-06-21
2021-11-04,6034,2022-06-21
2021-11-03,6436,2022-06-21
2021-11-02,6553,2022-06-21
2021-11-01,7438,2022-06-21
2021-10-31,3523,2022-06-21
2021-10-30,3958,2022-06-21
2021-10-29,5657,2022-06-21
2021-10-28,6096,2022-06-21
2021-10-27,6582,2022-06-21
2021-10-26,6807,2022-06-21
2021-10-25,7256,2022-06-21
2021-10-24,3591,2022-06-21
2021-10-23,4078,2022-06-21
2021-10-22,5992,2022-06-21
2021-10-21,5948,2022-06-21
2021-10-20,6266,2022-06-21
2021-10-19,6387,2022-06-21
2021-10-18,7082,2022-06-21
2021-10-17,3595,2022-06-21
2021-10-16,3654,2022-06-21
2021-10-15,5317,2022-06-21
2021-10-14,5305,2022-06-21
2021-10-13,5653,2022-06-21
2021-10-12,5810,2022-06-21
2021-10-11,5836,2022-06-21
2021-10-10,3312,2022-06-21
2021-10-09,3520,2022-06-21
2021-10-08,5178,2022-06-21
2021-10-07,5315,2022-06-21
2021-10-06,6021,2022-06-21
2021-10-05,6260,2022-06-21
2021-10-04,6799,2022-06-21
2021-10-03,3414,2022-06-21
2021-10-02,3699,2022-06-21
2021-10-01,5778,2022-06-21
2021-09-30,5804,2022-06-21
2021-09-29,6223,2022-06-21
2021-09-28,6778,2022-06-21
2021-09-27,7651,2022-06-21
2021-09-26,3766,2022-06-21
2021-09-25,4237,2022-06-21
2021-09-24,6180,2022-06-21
2021-09-23,6494,2022-06-21
2021-09-22,7396,2022-06-21
2021-09-21,7541,2022-06-21
2021-09-20,8855,2022-06-21
2021-09-19,4142,2022-06-21
2021-09-18,4917,2022-06-21
2021-09-17,7330,2022-06-21
2021-09-16,7872,2022-06-21
2021-09-15,8860,2022-06-21
2021-09-14,9475,2022-06-21
2021-09-13,10433,2022-06-21
2021-09-12,5366,2022-06-21
2021-09-11,6264,2022-06-21
2021-09-10,9307,2022-06-21
2021-09-09,10167,2022-06-21
2021-09-08,11300,2022-06-21
2021-09-07,12404,2022-06-21
2021-09-06,6657,2022-06-21
2021-09-05,5363,2022-06-21
2021-09-04,6790,2022-06-21
2021-09-03,9968,2022-06-21
2021-09-02,11000,2022-06-21
2021-09-01,12923,2022-06-21
2021-08-31,12272,2022-06-21
2021-08-30,13297,2022-06-21
2021-08-29,6584,2022-06-21
2021-08-28,7804,2022-06-21
2021-08-27,11241,2022-06-21
2021-08-26,12396,2022-06-21
2021-08-25,13559,2022-06-21
2021-08-24,14032,2022-06-21
2021-08-23,15310,2022-06-21
2021-08-22,7547,2022-06-21
2021-08-21,8877,2022-06-21
2021-08-20,13389,2022-06-21
2021-08-19,13898,2022-06-21
2021-08-18,15021,2022-06-21
2021-08-17,15497,2022-06-21
2021-08-16,16109,2022-06-21
2021-08-15,8182,2022-06-21
2021-08-14,9581,2022-06-21
2021-08-13,13737,2022-06-21
2021-08-12,14580,2022-06-21
2021-08-11,15495,2022-06-21
2021-08-10,16193,2022-06-21
2021-08-09,16285,2022-06-21
2021-08-08,8707,2022-06-21
2021-08-07,9690,2022-06-21
2021-08-06,12880,2022-06-21
2021-08-05,13910,2022-06-21
2021-08-04,14068,2022-06-21
2021-08-03,14322,2022-06-21
2021-08-02,14110,2022-06-21
2021-08-01,8514,2022-06-21
2021-07-31,8492,2022-06-21
2021-07-30,11082,2022-06-21
2021-07-29,11706,2022-06-21
2021-07-28,11800,2022-06-21
2021-07-27,11239,2022-06-21
2021-07-26,11732,2022-06-21
2021-07-25,6429,2022-06-21
2021-07-24,6755,2022-06-21
2021-07-23,8123,2022-06-21
2021-07-22,8322,2022-06-21
2021-07-21,8783,2022-06-21
2021-07-20,8348,2022-06-21
2021-07-19,8396,2022-06-21
2021-07-18,4795,2022-06-21
2021-07-17,4674,2022-06-21
2021-07-16,5964,2022-06-21
2021-07-15,5855,2022-06-21
2021-07-14,5561,2022-06-21
2021-07-13,5385,2022-06-21
2021-07-12,5365,2022-06-21
2021-07-11,3125,2022-06-21
2021-07-10,3129,2022-06-21
2021-07-09,3600,2022-06-21
2021-07-08,3568,2022-06-21
2021-07-07,3756,2022-06-21
2021-07-06,3602,2022-06-21
2021-07-05,2783,2022-06-21
2021-07-04,1555,2022-06-21
2021-07-03,1681,2022-06-21
2021-07-02,2012,2022-06-21
2021-07-01,2156,2022-06-21
2021-06-30,2017,2022-06-21
2021-06-29,1883,2022-06-21
2021-06-28,1925,2022-06-21
2021-06-27,1172,2022-06-21
2021-06-26,1072,2022-06-21
2021-06-25,1304,2022-06-21
2021-06-24,1394,2022-06-21
2021-06-23,1230,2022-06-21
2021-06-22,1309,2022-06-21
2021-06-21,1394,2022-06-21
2021-06-20,799,2022-06-21
2021-06-19,743,2022-06-21
2021-06-18,928,2022-06-21
2021-06-17,1026,2022-06-21
2021-06-16,1073,2022-06-21
2021-06-15,1039,2022-06-21
2021-06-14,1152,2022-06-21
2021-06-13,702,2022-06-21
2021-06-12,675,2022-06-21
2021-06-11,852,2022-06-21
2021-06-10,871,2022-06-21
2021-06-09,927,2022-06-21
2021-06-08,1049,2022-06-21
2021-06-07,1039,2022-06-21
2021-06-06,607,2022-06-21
2021-06-05,644,2022-06-21
2021-06-04,854,2022-06-21
2021-06-03,996,2022-06-21
2021-06-02,1042,2022-06-21
