"date","inc","location","cum"
2020-10-01,42,"25",NA
2020-10-02,43,"25",NA
2020-10-03,33,"25",NA
2020-10-04,44,"25",NA
2020-10-05,40,"25",NA
2020-10-06,40,"25",NA
2020-10-07,40,"25",NA
2020-10-08,52,"25",NA
2020-10-09,40,"25",NA
2020-10-10,33,"25",NA
2020-10-11,36,"25",NA
2020-10-12,42,"25",NA
2020-10-13,47,"25",NA
2020-10-14,39,"25",NA
2020-10-15,36,"25",NA
2020-10-16,43,"25",NA
2020-10-17,42,"25",NA
2020-10-18,40,"25",NA
2020-10-19,43,"25",NA
2020-10-20,61,"25",NA
2020-10-21,79,"25",NA
2020-10-22,61,"25",NA
2020-10-23,65,"25",NA
2020-10-24,57,"25",NA
2020-10-25,57,"25",NA
2020-10-26,54,"25",NA
2020-10-27,54,"25",NA
2020-10-28,58,"25",NA
2020-10-29,60,"25",NA
2020-10-30,52,"25",NA
2020-10-31,64,"25",NA
2020-11-01,58,"25",NA
2020-11-02,64,"25",NA
2020-11-03,64,"25",NA
2020-11-04,66,"25",NA
2020-11-05,91,"25",NA
2020-11-06,104,"25",NA
2020-11-07,79,"25",NA
2020-11-08,72,"25",NA
2020-11-09,91,"25",NA
2020-11-10,99,"25",NA
2020-11-11,85,"25",NA
2020-11-12,114,"25",NA
2020-11-13,101,"25",NA
2020-11-14,91,"25",NA
2020-11-15,113,"25",NA
2020-11-16,147,"25",NA
2020-11-17,145,"25",NA
2020-11-18,131,"25",NA
2020-11-19,112,"25",NA
2020-11-20,140,"25",NA
2020-11-21,123,"25",NA
2020-11-22,113,"25",NA
2020-11-23,125,"25",NA
2020-11-24,119,"25",NA
2020-11-25,134,"25",NA
2020-11-26,113,"25",NA
2020-11-27,141,"25",NA
2020-11-28,160,"25",NA
2020-11-29,129,"25",NA
2020-11-30,188,"25",NA
2020-12-01,215,"25",NA
2020-12-02,197,"25",NA
2020-12-03,191,"25",NA
2020-12-04,196,"25",NA
2020-12-05,188,"25",NA
2020-12-06,180,"25",NA
2020-12-07,237,"25",NA
2020-12-08,296,"25",NA
2020-12-09,268,"25",NA
2020-12-10,286,"25",NA
2020-12-11,306,"25",NA
2020-12-12,238,"25",NA
2020-12-13,216,"25",NA
2020-12-14,238,"25",NA
2020-12-15,296,"25",NA
2020-12-16,300,"25",NA
2020-12-17,254,"25",NA
2020-12-18,284,"25",NA
2020-12-19,290,"25",NA
2020-12-20,191,"25",NA
2020-12-21,262,"25",NA
2020-12-22,302,"25",NA
2020-12-23,281,"25",NA
2020-12-24,281,"25",NA
2020-12-25,262,"25",NA
2020-12-26,284,"25",NA
2020-12-27,230,"25",NA
2020-12-28,279,"25",NA
2020-12-29,323,"25",NA
2020-12-30,337,"25",NA
2020-12-31,311,"25",NA
2021-01-01,257,"25",NA
2021-01-02,273,"25",NA
2021-01-03,231,"25",NA
2021-01-04,326,"25",NA
2021-01-05,284,"25",NA
2021-01-06,303,"25",NA
2021-01-07,290,"25",NA
2021-01-08,279,"25",NA
2021-01-09,234,"25",NA
2021-01-10,198,"25",NA
2021-01-11,279,"25",NA
2021-01-12,345,"25",NA
2021-01-13,312,"25",NA
2021-01-14,295,"25",NA
2021-01-15,283,"25",NA
2021-01-16,244,"25",NA
