location,date,case,hosp,corrected_case,corrected_case_7da,forecast_date
ma,2020-10-01,754.0,42.0,754.0,,2020-12-07
ma,2020-10-02,761.0,43.0,761.0,,2020-12-07
ma,2020-10-03,672.0,33.0,672.0,,2020-12-07
ma,2020-10-04,644.0,44.0,644.0,,2020-12-07
ma,2020-10-05,515.0,40.0,515.0,,2020-12-07
ma,2020-10-06,495.0,40.0,495.0,,2020-12-07
ma,2020-10-07,535.0,40.0,535.0,625.1428571428571,2020-12-07
ma,2020-10-08,444.0,52.0,444.0,580.8571428571429,2020-12-07
ma,2020-10-09,765.0,40.0,765.0,581.4285714285714,2020-12-07
ma,2020-10-10,639.0,33.0,639.0,576.7142857142857,2020-12-07
ma,2020-10-11,563.0,36.0,563.0,565.1428571428571,2020-12-07
ma,2020-10-12,760.0,42.0,760.0,600.1428571428571,2020-12-07
ma,2020-10-13,749.0,47.0,749.0,636.4285714285714,2020-12-07
ma,2020-10-14,580.0,39.0,580.0,642.8571428571429,2020-12-07
ma,2020-10-15,587.0,36.0,587.0,663.2857142857143,2020-12-07
ma,2020-10-16,767.0,43.0,767.0,663.5714285714286,2020-12-07
ma,2020-10-17,584.0,42.0,584.0,655.7142857142857,2020-12-07
ma,2020-10-18,730.0,40.0,730.0,679.5714285714286,2020-12-07
ma,2020-10-19,828.0,43.0,828.0,689.2857142857143,2020-12-07
ma,2020-10-20,976.0,61.0,976.0,721.7142857142857,2020-12-07
ma,2020-10-21,702.0,79.0,702.0,739.1428571428571,2020-12-07
ma,2020-10-22,1049.0,61.0,1049.0,805.1428571428571,2020-12-07
ma,2020-10-23,1070.0,65.0,1070.0,848.4285714285714,2020-12-07
ma,2020-10-24,1203.0,57.0,1203.0,936.8571428571429,2020-12-07
ma,2020-10-25,1077.0,57.0,1077.0,986.4285714285714,2020-12-07
ma,2020-10-26,1212.0,54.0,1212.0,1041.2857142857142,2020-12-07
ma,2020-10-27,1260.0,54.0,1260.0,1081.857142857143,2020-12-07
ma,2020-10-28,1181.0,58.0,1181.0,1150.2857142857142,2020-12-07
ma,2020-10-29,1346.0,60.0,1346.0,1192.7142857142858,2020-12-07
ma,2020-10-30,1582.0,52.0,1582.0,1265.857142857143,2020-12-07
ma,2020-10-31,1430.0,64.0,1430.0,1298.2857142857142,2020-12-07
ma,2020-11-01,1131.0,58.0,1131.0,1306.0,2020-12-07
ma,2020-11-02,842.0,64.0,842.0,1253.142857142857,2020-12-07
ma,2020-11-03,1036.0,64.0,1036.0,1221.142857142857,2020-12-07
ma,2020-11-04,1714.0,66.0,1714.0,1297.2857142857142,2020-12-07
ma,2020-11-05,1862.0,91.0,1862.0,1371.0,2020-12-07
ma,2020-11-06,2113.0,104.0,2113.0,1446.857142857143,2020-12-07
ma,2020-11-07,2302.0,79.0,2302.0,1571.4285714285713,2020-12-07
ma,2020-11-08,1823.0,72.0,1823.0,1670.2857142857142,2020-12-07
ma,2020-11-09,1328.0,91.0,1328.0,1739.7142857142858,2020-12-07
ma,2020-11-10,2154.0,99.0,2154.0,1899.4285714285713,2020-12-07
ma,2020-11-11,2660.0,85.0,2660.0,2034.5714285714287,2020-12-07
ma,2020-11-12,2648.0,114.0,2648.0,2146.8571428571427,2020-12-07
ma,2020-11-13,2906.0,101.0,2906.0,2260.1428571428573,2020-12-07
ma,2020-11-14,3047.0,91.0,3047.0,2366.5714285714284,2020-12-07
ma,2020-11-15,2133.0,113.0,2133.0,2410.8571428571427,2020-12-07
ma,2020-11-16,2164.0,147.0,2164.0,2530.285714285714,2020-12-07
ma,2020-11-17,2525.0,145.0,2525.0,2583.285714285714,2020-12-07
ma,2020-11-18,2904.0,131.0,2904.0,2618.1428571428573,2020-12-07
ma,2020-11-19,2682.0,112.0,2682.0,2623.0,2020-12-07
ma,2020-11-20,2399.0,140.0,2399.0,2550.5714285714284,2020-12-07
ma,2020-11-21,3206.0,123.0,3206.0,2573.285714285714,2020-12-07
ma,2020-11-22,2695.0,113.0,2695.0,2653.5714285714284,2020-12-07
ma,2020-11-23,1773.0,125.0,1773.0,2597.714285714286,2020-12-07
ma,2020-11-24,2576.0,119.0,2576.0,2605.0,2020-12-07
ma,2020-11-25,3395.0,134.0,3395.0,2675.1428571428573,2020-12-07
ma,2020-11-26,0.0,113.0,2329.0,2624.714285714286,2020-12-07
ma,2020-11-27,4658.0,141.0,2329.0,2614.714285714286,2020-12-07
ma,2020-11-28,3217.0,160.0,3217.0,2616.285714285714,2020-12-07
ma,2020-11-29,2495.0,129.0,2495.0,2587.714285714286,2020-12-07
ma,2020-11-30,1168.0,188.0,1168.0,2501.285714285714,2020-12-07
ma,2020-12-01,3073.0,215.0,3073.0,2572.285714285714,2020-12-07
ma,2020-12-02,5027.0,197.0,5027.0,2805.4285714285716,2020-12-07
ma,2020-12-03,6675.0,191.0,6675.0,3426.285714285714,2020-12-07
ma,2020-12-04,5491.0,196.0,5491.0,3878.0,2020-12-07
ma,2020-12-05,5619.0,188.0,5619.0,4221.142857142857,2020-12-07
ma,2020-12-06,4827.0,180.0,4827.0,4554.285714285715,2020-12-07
ma,2020-12-07,2481.0,237.0,2481.0,4741.857142857143,2020-12-07
ma,2020-10-01,754.0,42.0,754.0,,2020-12-14
ma,2020-10-02,761.0,43.0,761.0,,2020-12-14
ma,2020-10-03,672.0,33.0,672.0,,2020-12-14
ma,2020-10-04,644.0,44.0,644.0,,2020-12-14
ma,2020-10-05,515.0,40.0,515.0,,2020-12-14
ma,2020-10-06,495.0,40.0,495.0,,2020-12-14
ma,2020-10-07,535.0,40.0,535.0,625.1428571428571,2020-12-14
ma,2020-10-08,444.0,52.0,444.0,580.8571428571429,2020-12-14
ma,2020-10-09,765.0,40.0,765.0,581.4285714285714,2020-12-14
ma,2020-10-10,639.0,33.0,639.0,576.7142857142857,2020-12-14
ma,2020-10-11,563.0,36.0,563.0,565.1428571428571,2020-12-14
ma,2020-10-12,760.0,42.0,760.0,600.1428571428571,2020-12-14
ma,2020-10-13,749.0,47.0,749.0,636.4285714285714,2020-12-14
ma,2020-10-14,580.0,39.0,580.0,642.8571428571429,2020-12-14
ma,2020-10-15,587.0,36.0,587.0,663.2857142857143,2020-12-14
ma,2020-10-16,767.0,43.0,767.0,663.5714285714286,2020-12-14
ma,2020-10-17,584.0,42.0,584.0,655.7142857142857,2020-12-14
ma,2020-10-18,730.0,40.0,730.0,679.5714285714286,2020-12-14
ma,2020-10-19,828.0,43.0,828.0,689.2857142857143,2020-12-14
ma,2020-10-20,976.0,61.0,976.0,721.7142857142857,2020-12-14
ma,2020-10-21,702.0,79.0,702.0,739.1428571428571,2020-12-14
ma,2020-10-22,1049.0,61.0,1049.0,805.1428571428571,2020-12-14
ma,2020-10-23,1070.0,65.0,1070.0,848.4285714285714,2020-12-14
ma,2020-10-24,1203.0,57.0,1203.0,936.8571428571429,2020-12-14
ma,2020-10-25,1077.0,57.0,1077.0,986.4285714285714,2020-12-14
ma,2020-10-26,1212.0,54.0,1212.0,1041.2857142857142,2020-12-14
ma,2020-10-27,1260.0,54.0,1260.0,1081.857142857143,2020-12-14
ma,2020-10-28,1181.0,58.0,1181.0,1150.2857142857142,2020-12-14
ma,2020-10-29,1346.0,60.0,1346.0,1192.7142857142858,2020-12-14
ma,2020-10-30,1582.0,52.0,1582.0,1265.857142857143,2020-12-14
ma,2020-10-31,1430.0,64.0,1430.0,1298.2857142857142,2020-12-14
ma,2020-11-01,1131.0,58.0,1131.0,1306.0,2020-12-14
ma,2020-11-02,842.0,64.0,842.0,1253.142857142857,2020-12-14
ma,2020-11-03,1036.0,64.0,1036.0,1221.142857142857,2020-12-14
ma,2020-11-04,1714.0,66.0,1714.0,1297.2857142857142,2020-12-14
ma,2020-11-05,1862.0,91.0,1862.0,1371.0,2020-12-14
ma,2020-11-06,2113.0,104.0,2113.0,1446.857142857143,2020-12-14
ma,2020-11-07,2302.0,79.0,2302.0,1571.4285714285713,2020-12-14
ma,2020-11-08,1823.0,72.0,1823.0,1670.2857142857142,2020-12-14
ma,2020-11-09,1328.0,91.0,1328.0,1739.7142857142858,2020-12-14
ma,2020-11-10,2154.0,99.0,2154.0,1899.4285714285713,2020-12-14
ma,2020-11-11,2660.0,85.0,2660.0,2034.5714285714287,2020-12-14
ma,2020-11-12,2648.0,114.0,2648.0,2146.8571428571427,2020-12-14
