"date","inc","location","cum"
2020-10-01,316,"06",NA
2020-10-02,328,"06",NA
2020-10-03,294,"06",NA
2020-10-04,315,"06",NA
2020-10-05,347,"06",NA
2020-10-06,338,"06",NA
2020-10-07,350,"06",NA
2020-10-08,335,"06",NA
2020-10-09,336,"06",NA
2020-10-10,321,"06",NA
2020-10-11,291,"06",NA
2020-10-12,335,"06",NA
2020-10-13,366,"06",NA
2020-10-14,323,"06",NA
2020-10-15,337,"06",NA
2020-10-16,344,"06",NA
2020-10-17,320,"06",NA
2020-10-18,320,"06",NA
2020-10-19,368,"06",NA
2020-10-20,324,"06",NA
2020-10-21,356,"06",NA
2020-10-22,355,"06",NA
2020-10-23,341,"06",NA
2020-10-24,325,"06",NA
2020-10-25,302,"06",NA
2020-10-26,357,"06",NA
2020-10-27,376,"06",NA
2020-10-28,359,"06",NA
2020-10-29,452,"06",NA
2020-10-30,356,"06",NA
2020-10-31,368,"06",NA
2020-11-01,385,"06",NA
2020-11-02,442,"06",NA
2020-11-03,400,"06",NA
2020-11-04,439,"06",NA
2020-11-05,429,"06",NA
2020-11-06,431,"06",NA
2020-11-07,410,"06",NA
2020-11-08,373,"06",NA
2020-11-09,508,"06",NA
2020-11-10,479,"06",NA
2020-11-11,582,"06",NA
2020-11-12,545,"06",NA
2020-11-13,580,"06",NA
2020-11-14,571,"06",NA
2020-11-15,595,"06",NA
2020-11-16,688,"06",NA
2020-11-17,715,"06",NA
2020-11-18,722,"06",NA
2020-11-19,816,"06",NA
2020-11-20,796,"06",NA
2020-11-21,815,"06",NA
2020-11-22,840,"06",NA
2020-11-23,1002,"06",NA
2020-11-24,1014,"06",NA
2020-11-25,1060,"06",NA
2020-11-26,970,"06",NA
2020-11-27,1170,"06",NA
2020-11-28,1129,"06",NA
2020-11-29,1131,"06",NA
2020-11-30,1223,"06",NA
2020-12-01,1237,"06",NA
2020-12-02,1339,"06",NA
2020-12-03,1388,"06",NA
2020-12-04,1471,"06",NA
2020-12-05,1370,"06",NA
2020-12-06,1428,"06",NA
2020-12-07,1540,"06",NA
2020-12-08,1715,"06",NA
2020-12-09,1769,"06",NA
2020-12-10,1891,"06",NA
2020-12-11,1961,"06",NA
2020-12-12,1855,"06",NA
2020-12-13,1883,"06",NA
2020-12-14,2191,"06",NA
2020-12-15,2138,"06",NA
2020-12-16,2284,"06",NA
2020-12-17,2368,"06",NA
2020-12-18,2215,"06",NA
2020-12-19,2090,"06",NA
2020-12-20,2117,"06",NA
2020-12-21,2376,"06",NA
2020-12-22,2425,"06",NA
2020-12-23,2278,"06",NA
2020-12-24,2167,"06",NA
2020-12-25,2108,"06",NA
2020-12-26,2299,"06",NA
2020-12-27,2245,"06",NA
2020-12-28,2279,"06",NA
2020-12-29,2388,"06",NA
2020-12-30,2295,"06",NA
2020-12-31,2258,"06",NA
2021-01-01,2297,"06",NA
2021-01-02,2259,"06",NA
2021-01-03,2266,"06",NA
2021-01-04,2580,"06",NA
2021-01-05,2548,"06",NA
2021-01-06,2406,"06",NA
2021-01-07,2427,"06",NA
2021-01-08,2334,"06",NA
2021-01-09,1797,"06",NA
2021-01-10,1957,"06",NA
2021-01-11,2221,"06",NA
2021-01-12,2236,"06",NA
2021-01-13,2167,"06",NA
2021-01-14,2220,"06",NA
2021-01-15,2191,"06",NA
2021-01-16,1898,"06",NA
2021-01-17,1823,"06",NA
2021-01-18,1990,"06",NA
2021-01-19,1957,"06",NA
2021-01-20,1786,"06",NA
2021-01-21,1840,"06",NA
2021-01-22,1817,"06",NA
2021-01-23,1544,"06",NA
2021-01-24,1401,"06",NA
2021-01-25,1631,"06",NA
2021-01-26,1508,"06",NA
2021-01-27,1575,"06",NA
2021-01-28,1518,"06",NA
2021-01-29,1466,"06",NA
2021-01-30,1166,"06",NA
2021-01-31,1152,"06",NA
2021-02-01,1318,"06",NA
2021-02-02,1318,"06",NA
2021-02-03,1271,"06",NA
2021-02-04,1162,"06",NA
2021-02-05,1140,"06",NA
2021-02-06,963,"06",NA
2021-02-07,851,"06",NA
2021-02-08,1045,"06",NA
2021-02-09,934,"06",NA
2021-02-10,940,"06",NA
2021-02-11,877,"06",NA
2021-02-12,851,"06",NA
2021-02-13,733,"06",NA
2021-02-14,643,"06",NA
2021-02-15,714,"06",NA
2021-02-16,761,"06",NA
2021-02-17,710,"06",NA
2021-02-18,659,"06",NA
2021-02-19,663,"06",NA
2021-02-20,560,"06",NA
2021-02-21,476,"06",NA
2021-02-22,644,"06",NA
2021-02-23,595,"06",NA
2021-02-24,551,"06",NA
2021-02-25,507,"06",NA
2021-02-26,524,"06",NA
2021-02-27,435,"06",NA
2021-02-28,391,"06",NA
2021-03-01,457,"06",NA
2021-03-02,516,"06",NA
2021-03-03,455,"06",NA
2021-03-04,445,"06",NA
2021-03-05,458,"06",NA
2021-03-06,342,"06",NA
2021-03-07,341,"06",NA
2021-03-08,391,"06",NA
2021-03-09,377,"06",NA
2021-03-10,374,"06",NA
2021-03-11,420,"06",NA
2021-03-12,384,"06",NA
2021-03-13,361,"06",NA
2021-03-14,312,"06",NA
2021-03-15,370,"06",NA
2021-03-16,399,"06",NA
2021-03-17,338,"06",NA
2021-03-18,335,"06",NA
2021-03-19,375,"06",NA
2021-03-20,267,"06",NA
2021-03-21,282,"06",NA
2021-03-22,308,"06",NA
2021-03-23,352,"06",NA
2021-03-24,305,"06",NA
2021-03-25,319,"06",NA
2021-03-26,307,"06",NA
2021-03-27,243,"06",NA
2021-03-28,287,"06",NA
2021-03-29,308,"06",NA
2021-03-30,286,"06",NA
2021-03-31,317,"06",NA
2021-04-01,270,"06",NA
2021-04-02,293,"06",NA
2021-04-03,205,"06",NA
2021-04-04,222,"06",NA
2021-04-05,280,"06",NA
2021-04-06,282,"06",NA
2021-04-07,253,"06",NA
2021-04-08,279,"06",NA
2021-04-09,255,"06",NA
2021-04-10,257,"06",NA
2021-04-11,259,"06",NA
2021-04-12,331,"06",NA
2021-04-13,302,"06",NA
2021-04-14,286,"06",NA
2021-04-15,250,"06",NA
2021-04-16,240,"06",NA
2021-04-17,223,"06",NA
2021-04-18,219,"06",NA
2021-04-19,258,"06",NA
2021-04-20,243,"06",NA
2021-04-21,256,"06",NA
2021-04-22,262,"06",NA
