"date","inc","location","cum"
2020-10-01,3504,"06",825005
2020-10-02,4146,"06",829151
2020-10-03,4258,"06",833409
2020-10-04,2785,"06",836194
2020-10-05,1851,"06",838045
2020-10-06,2978,"06",841023
2020-10-07,3897,"06",844920
2020-10-08,3922,"06",848842
2020-10-09,4210,"06",853052
2020-10-10,3802,"06",856854
2020-10-11,3373,"06",860227
2020-10-12,2637,"06",862864
2020-10-13,2873,"06",865737
2020-10-14,3485,"06",869222
2020-10-15,3288,"06",872510
2020-10-16,3203,"06",875713
2020-10-17,3018,"06",878731
2020-10-18,3442,"06",882173
2020-10-19,3400,"06",885573
2020-10-20,3879,"06",889452
2020-10-21,3183,"06",892635
2020-10-22,6369,"06",899004
2020-10-23,6221,"06",905225
2020-10-24,5246,"06",910471
2020-10-25,2960,"06",913431
2020-10-26,3394,"06",916825
2020-10-27,4697,"06",921522
2020-10-28,4384,"06",925906
2020-10-29,4394,"06",930300
2020-10-30,5312,"06",935612
2020-10-31,4701,"06",940313
2020-11-01,4211,"06",944524
2020-11-02,4505,"06",949029
2020-11-03,5719,"06",954748
2020-11-04,5190,"06",959938
2020-11-05,7074,"06",967012
2020-11-06,6331,"06",973343
2020-11-07,8861,"06",982204
2020-11-08,5841,"06",988045
2020-11-09,6147,"06",994192
2020-11-10,8245,"06",1002437
2020-11-11,7411,"06",1009848
2020-11-12,7693,"06",1017541
2020-11-13,10471,"06",1028012
2020-11-14,11327,"06",1039339
2020-11-15,9433,"06",1048772
2020-11-16,10165,"06",1058937
2020-11-17,11418,"06",1070355
2020-11-18,12466,"06",1082821
2020-11-19,14331,"06",1097152
2020-11-20,16250,"06",1113402
2020-11-21,15076,"06",1128478
2020-11-22,8249,"06",1136727
2020-11-23,17010,"06",1153737
2020-11-24,19328,"06",1173065
2020-11-25,15736,"06",1188801
2020-11-26,12630,"06",1201431
2020-11-27,12831,"06",1214262
2020-11-28,15897,"06",1230159
2020-11-29,14165,"06",1244324
2020-11-30,15001,"06",1259325
2020-12-01,23637,"06",1282962
2020-12-02,20708,"06",1303670
2020-12-03,24507,"06",1328177
2020-12-04,27180,"06",1355357
2020-12-05,30560,"06",1385917
2020-12-06,24871,"06",1410788
2020-12-07,25901,"06",1436689
2020-12-08,34315,"06",1471004
2020-12-09,31984,"06",1502988
2020-12-10,38566,"06",1541554
2020-12-11,37752,"06",1579306
2020-12-12,31819,"06",1611125
2020-12-13,30586,"06",1641711
2020-12-14,33394,"06",1675105
2020-12-15,55251,"06",1730356
2020-12-16,56137,"06",1786493
2020-12-17,44457,"06",1830950
2020-12-18,45587,"06",1876537
2020-12-19,45266,"06",1921803
2020-12-20,36951,"06",1958754
2020-12-21,37423,"06",1996177
2020-12-22,39631,"06",2035808
2020-12-23,40686,"06",2076494
2020-12-24,44396,"06",2120890
2020-12-25,26911,"06",2147801
2020-12-26,51642,"06",2199443
2020-12-27,33062,"06",2232505
2020-12-28,37354,"06",2269859
2020-12-29,37076,"06",2306935
2020-12-30,20921,"06",2327856
2020-12-31,57482,"06",2385338
2021-01-01,50246,"06",2435584
2021-01-02,46343,"06",2481927
2021-01-03,31390,"06",2513317
2021-01-04,36917,"06",2550234
2021-01-05,35294,"06",2585528
2021-01-06,39147,"06",2624675
2021-01-07,51658,"06",2676333
2021-01-08,52701,"06",2729034
2021-01-09,48719,"06",2777753
2021-01-10,38901,"06",2816654
2021-01-11,38132,"06",2854786
2021-01-12,38948,"06",2893734
2021-01-13,37281,"06",2931015
2021-01-14,42839,"06",2973854
2021-01-15,41500,"06",3015354
2021-01-16,41398,"06",3056752
2021-01-17,29877,"06",3086629
2021-01-18,25824,"06",3112453
2021-01-19,24783,"06",3137236
2021-01-20,21172,"06",3158408
2021-01-21,23254,"06",3181662
2021-01-22,23180,"06",3204842
2021-01-23,24309,"06",3229151
2021-01-24,25894,"06",3255045
2021-01-25,17096,"06",3272141
2021-01-26,18588,"06",3290729
2021-01-27,17679,"06",3308408
2021-01-28,20468,"06",3328876
2021-01-29,19788,"06",3348664
2021-01-30,19733,"06",3368397
2021-01-31,16353,"06",3384750
2021-02-01,13111,"06",3397861
2021-02-02,12157,"06",3410018
2021-02-03,13943,"06",3423961
2021-02-04,14615,"06",3438576
2021-02-05,13733,"06",3452309
2021-02-06,15081,"06",3467390
2021-02-07,11533,"06",3478923
2021-02-08,9390,"06",3488313
2021-02-09,9766,"06",3498079
2021-02-10,9138,"06",3507217
2021-02-11,10975,"06",3518192
2021-02-12,9749,"06",3527941
2021-02-13,10307,"06",3538248
2021-02-14,6782,"06",3545030
2021-02-15,5785,"06",3550815
2021-02-16,5123,"06",3555938
2021-02-17,6461,"06",3562399
2021-02-18,7409,"06",3569808
2021-02-19,7697,"06",3577505
2021-02-20,7560,"06",3585065
2021-02-21,5132,"06",3590197
2021-02-22,4087,"06",3594284
2021-02-23,6071,"06",3600355
2021-02-24,6038,"06",3606393
2021-02-25,6030,"06",3612423
2021-02-26,6070,"06",3618493
2021-02-27,5335,"06",3623828
2021-02-28,3907,"06",3627735
2021-03-01,3030,"06",3630765
2021-03-02,4265,"06",3635030
2021-03-03,4377,"06",3639407
2021-03-04,5454,"06",3644861
2021-03-05,5528,"06",3650389
2021-03-06,4799,"06",3655188
2021-03-07,3698,"06",3658886
2021-03-08,3012,"06",3661898
2021-03-09,3433,"06",3665331
2021-03-10,3700,"06",3669031
2021-03-11,3879,"06",3672910
2021-03-12,4599,"06",3677509
2021-03-13,2084,"06",3679593
2021-03-14,2607,"06",3682200
2021-03-15,1665,"06",3683865
2021-03-16,2597,"06",3686462
2021-03-17,3362,"06",3689824
2021-03-18,3581,"06",3693405
2021-03-19,3362,"06",3696767
2021-03-20,3427,"06",3700194
2021-03-21,2136,"06",3702330
2021-03-22,2115,"06",3704445
2021-03-23,2205,"06",3706650
2021-03-24,2806,"06",3709456
2021-03-25,2870,"06",3712326
2021-03-26,3531,"06",3715857
2021-03-27,3107,"06",3718964
2021-03-28,2434,"06",3721398
2021-03-29,2277,"06",3723675
2021-03-30,2162,"06",3725837
2021-03-31,2582,"06",3728419
2021-04-01,2653,"06",3731072
2021-04-02,4893,"06",3735965
2021-04-03,1802,"06",3737767
2021-04-04,1632,"06",3739399
2021-04-05,3298,"06",3742697
2021-04-06,2436,"06",3745133
2021-04-07,2442,"06",3747575
2021-04-08,2788,"06",3750363
2021-04-09,5154,"06",3755517
2021-04-10,5305,"06",3760822
2021-04-11,3067,"06",3763889
2021-04-12,1804,"06",3765693
2021-04-13,2675,"06",3768368
2021-04-14,2335,"06",3770703
2021-04-15,2693,"06",3773396
2021-04-16,3088,"06",3776484
2021-04-17,2816,"06",3779300
2021-04-18,2107,"06",3781407
2021-04-19,1753,"06",3783160
2021-04-20,2373,"06",3785533
2021-04-21,2603,"06",3788136
2021-04-22,2064,"06",3790200
2021-04-23,1065,"06",3791265
2021-04-24,2345,"06",3793610
2021-04-25,2138,"06",3795748
2021-04-26,1740,"06",3797488
2021-04-27,1818,"06",3799306
2021-04-28,1695,"06",3801001
2021-04-29,1969,"06",3802970
2021-04-30,2272,"06",3805242
2021-05-01,2402,"06",3807644
2021-05-02,1636,"06",3809280
2021-05-03,1477,"06",3810757
2021-05-04,1629,"06",3812386
2021-05-05,1576,"06",3813962
2021-05-06,2790,"06",3816752
2021-05-07,2141,"06",3818893
2021-05-08,1883,"06",3820776
2021-05-09,1471,"06",3822247
2021-05-10,1211,"06",3823458
2021-05-11,1437,"06",3824895
