location,date,case,hosp,corrected_case,corrected_case_7da,forecast_date
ca,2020-10-01,3590.0,316.0,3590.0,,2020-12-07
ca,2020-10-02,2159.0,328.0,2159.0,,2020-12-07
ca,2020-10-03,4293.0,294.0,4293.0,,2020-12-07
ca,2020-10-04,3055.0,315.0,3055.0,,2020-12-07
ca,2020-10-05,1677.0,347.0,1677.0,,2020-12-07
ca,2020-10-06,2764.0,338.0,2764.0,,2020-12-07
ca,2020-10-07,3575.0,350.0,3575.0,3016.1428571428573,2020-12-07
ca,2020-10-08,3806.0,335.0,3806.0,3047.0,2020-12-07
ca,2020-10-09,4170.0,336.0,4170.0,3334.285714285714,2020-12-07
ca,2020-10-10,3803.0,321.0,3803.0,3264.285714285714,2020-12-07
ca,2020-10-11,3449.0,291.0,3449.0,3320.5714285714284,2020-12-07
ca,2020-10-12,2378.0,335.0,2378.0,3420.714285714286,2020-12-07
ca,2020-10-13,2666.0,366.0,2666.0,3406.714285714286,2020-12-07
ca,2020-10-14,3329.0,323.0,3329.0,3371.5714285714284,2020-12-07
ca,2020-10-15,3075.0,337.0,3075.0,3267.1428571428573,2020-12-07
ca,2020-10-16,2979.0,344.0,2979.0,3097.0,2020-12-07
ca,2020-10-17,2862.0,320.0,2862.0,2962.5714285714284,2020-12-07
ca,2020-10-18,3474.0,320.0,3474.0,2966.1428571428573,2020-12-07
ca,2020-10-19,3286.0,368.0,3286.0,3095.8571428571427,2020-12-07
ca,2020-10-20,3707.0,324.0,3707.0,3244.5714285714284,2020-12-07
ca,2020-10-21,2940.0,356.0,2940.0,3189.0,2020-12-07
ca,2020-10-22,6141.0,355.0,6141.0,3627.0,2020-12-07
ca,2020-10-23,5945.0,341.0,5945.0,4050.714285714286,2020-12-07
ca,2020-10-24,5219.0,325.0,5219.0,4387.428571428572,2020-12-07
ca,2020-10-25,2981.0,302.0,2981.0,4317.0,2020-12-07
ca,2020-10-26,3188.0,357.0,3188.0,4303.0,2020-12-07
ca,2020-10-27,4515.0,376.0,4515.0,4418.428571428572,2020-12-07
ca,2020-10-28,4191.0,359.0,4191.0,4597.142857142857,2020-12-07
ca,2020-10-29,4014.0,452.0,4014.0,4293.285714285715,2020-12-07
ca,2020-10-30,5087.0,356.0,5087.0,4170.714285714285,2020-12-07
ca,2020-10-31,4529.0,368.0,4529.0,4072.1428571428573,2020-12-07
ca,2020-11-01,4094.0,385.0,4094.0,4231.142857142857,2020-12-07
ca,2020-11-02,4044.0,442.0,4044.0,4353.428571428572,2020-12-07
